feeding_guild,feeding_guild2,scientific_name,common_name,N
C,I,Apaloderma narina,Narina Trogon,2
C,I,Glaucidium tephronotum,Red-chested Owlet,1
F,G,Chlorocichla laetissima,Joyful Greenbul,3
F,I,Buccanodon duchaillui,Yellow-spotted Barbet,1
F,I,Gymnobucco bonapartei,Grey-throated Barbet,2
F,I,Pogoniulus bilineatus,Yellow-rumped Tinkerbird,33
F,,Bycanistes subcylindricus,Black-and-white-casqued Hornbill,22
F,,Corythaeola cristata,Great Blue Turaco,4
I,F,Ceuthmochares aereus,Blue Malkoha,1
I,F,Oriolus brachyrynchus,Western Black-headed Oriole,7
I,F,Pogoniulus subsulphureus,Yellow-throated Tinkerbird,12
I,O,Cuculus solitarius,Red-chested Cuckoo,16
I,O,Halcyon malimbica,Blue-breasted Kingfisher,1
I,,Alethe castanea,Fire-crested Alethe,2
I,,Apalis rufogularis,Buff-throated Apalis,2
I,,Bathmocercus rufus,Black-faced Rufous-Warbler,8
I,,Camaroptera brachyura,Green-backed Camaroptera,3
I,,Cercococcyx mechowi,Dusky Long-tailed Cuckoo,8
I,,Chrysococcyx cupreus,African Emerald Cuckoo,2
I,,Cossypha cyanocampter,Blue-shouldered Robin-Chat,1
I,,Dyaphorophyia castanea,Chestnut Wattle-eye,1
I,,Fraseria griseigularis,Gray-throated Tit-Flycatcher,3
I,,Illadopsis albipectus,Scaly-breasted Illadopsis,10
I,,Illadopsis fulvescens,Brown Illadopsis,1
I,,Illadopsis rufipennis,Pale-breasted Illadopsis,1
I,,Laniarius luehderi,Lühder's Bushshrike,2
I,,Stizorhina fraseri,Rufous Flycatcher-Thrush,4
I,,Sylvietta virens,Green Crombec,2
I,,Terpsiphone rufiventer,Black-headed Paradise-Flycatcher,1
N,I,Cyanomitra cyanolaema,Blue-throated Brown Sunbird,3
N,I,Cyanomitra olivacea,Olive Sunbird,2
O,,Baeopogon indicator,Honeyguide Greenbul,2
O,,Bleda syndactyla,Red-tailed Bristlebill,4
O,,Camaroptera chloronota,Olive-green Camaroptera,1
O,,Eurillas curvirostris,Plain Greenbul,7
O,,Eurillas latirostris,Yellow-whiskered Greenbul,18
O,,Eurillas virens,Little Greenbul,5
O,,Nicator chloris,Western Nicator,4
O,,Sarothrura pulchra,White-spotted Flufftail,1
O,,Sheppardia polioptera,Grey-winged Robin-Chat,1
O,,Tricholaema hirsuta,Hairy-breasted Barbet,2
O,,Turtur tympanistria,Tambourine Dove,19
