sample_id,day,pair_id,net,condition,stimulus,playback_species,experiment,playback_code,monkey_present,time,recording_length_s,performance_measure,species_richness_total,species_richness_i,species_richness_c,species_richness_f,species_richness_g,species_richness_n,species_richness_o,Apaloderma_narina,Glaucidium_tephronotum,Chlorocichla_laetissima,Buccanodon_duchaillui,Gymnobucco_bonapartei,Pogoniulus_bilineatus,Bycanistes_subcylindricus,Corythaeola_cristata,Ceuthmochares_aereus,Oriolus_brachyrynchus,Pogoniulus_subsulphureus,Cuculus_solitarius,Halcyon_malimbica,Alethe_castanea,Apalis_rufogularis,Bathmocercus_rufus,Camaroptera_brachyura,Cercococcyx_mechowi,Chrysococcyx_cupreus,Cossypha_cyanocampter,Dyaphorophyia_castanea,Fraseria_griseigularis,Illadopsis_albipectus,Illadopsis_fulvescens,Illadopsis_rufipennis,Laniarius_luehderi,Stizorhina_fraseri,Sylvietta_virens,Terpsiphone_rufiventer,Cyanomitra_cyanolaema,Cyanomitra_olivacea,Baeopogon_indicator,Bleda_syndactyla,Camaroptera_chloronota,Eurillas_curvirostris,Eurillas_latirostris,Eurillas_virens,Nicator_chloris,Sarothrura_pulchra,Sheppardia_polioptera,Tricholaema_hirsuta,Turtur_tympanistria
14_08A_CH,14_08,14_3,A,post_playback,CH,CH,primate,CH_1,GM,8:45,300,P/A,6,3,0,3,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
14_08A_CON1,14_08,14_4,A,control,CON1,GM,primate,SIL,0,9:20,300,P/A,9,5,0,5,1,0,2,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
14_08A_GM,14_08,14_5,A,post_playback,GM,GM,primate,OGM_2,0,9:55,300,P/A,4,2,0,2,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
14_08A_CON,14_08,14_6,A,control,CON,CH,primate,SIL,0,10:30,300,P/A,4,2,0,2,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
14_08A_RC,14_08,14_7,A,post_playback,RC,RC,primate,ORC_2,0,11:05,300,P/A,3,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14_08B_CON1,14_08,14_3,B,control,CON1,CH,primate,SIL,0,8:45,300,P/A,3,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14_08B_GM,14_08,14_4,B,post_playback,GM,GM,primate,OGM_1,GM,9:20,300,P/A,7,4,0,3,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
14_08B_CON2,14_08,14_5,B,control,CON2,GM,primate,SIL,GM,9:55,300,P/A,2,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14_08B_CH,14_08,14_6,B,post_playback,CH,CH,primate,CH_2,0,10:30,300,P/A,4,1,0,2,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
14_08B_CON3,14_08,14_7,B,control,CON3,RC,primate,SIL,0,11:05,300,P/A,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
