Date,Time,Status,Test,Playback,Primates.Present,Net ,Plot,Stimulus,Experiment,Catches,I_Score,FG_Score,O_Score,N_Score,Catch Spc.
14-Aug,07:05,Y,Playback,Black Colobus,Mangabey,Top,A,OBC1,1,0,0,0,0,0,
14-Aug,07:05,Y,Control,Silent,N,Bottom,B,N,1,0,0,0,0,0,
14-Aug,07:40,Y,Control,Silent,Mangabey,Top,A,N,2,0,0,0,0,0,
14-Aug,07:40,Y,Playback,Red Colobus,N,Bottom,B,ORC1,2,0,0,0,0,0,
14-Aug,08:15,Y,Playback,Chimpanzee,Mangabey,Top,A,CZ1,3,1,0,1,0,0,Olive Green Camaroptera
14-Aug,08:15,Y,Control,Silent,N,Bottom,B,N,3,0,0,0,0,0,
14-Aug,08:50,Y,Control,Silent,N,Top,A,N,4,2,0,0,1,1,"Olive Sunbird, Little Greenbul"
14-Aug,08:50,Y,Playback,Mangabey,Mangabey,Bottom,B,OGM1,4,0,0,0,0,0,
14-Aug,09:25,Y,Playback,Mangabey,N,Top,A,OGM2,5,1,0,0,1,0,Dark Backed Weaver
14-Aug,09:25,Y,Control,Silent,Mangabey,Bottom,B,N,5,0,0,0,0,0,
14-Aug,10:00,Y,Control,Silent,N,Top,A,N,6,1,0,0,1,0,Toro Olive Greenbul
14-Aug,10:00,Y,Playback,Chimpanzee,N,Bottom,B,CZ2,6,0,0,0,0,0,
14-Aug,10:35,Y,Playback,Red Colobus,N,Top,A,ORC2,7,0,0,0,0,0,
14-Aug,10:35,Y,Control,Silent,N,Bottom,B,N,7,0,0,0,0,0,
14-Aug,11:10,Y,Control,Silent,N,Top,A,N,8,1,1,0,0,0,Green Backed Camaroptera
14-Aug,11:10,Y,Playback,Black Colobus,N,Bottom,B,OBC2,8,0,0,0,0,0,
15-Aug,07:05,Y,Playback,Red Colobus,Mangabey,Top,C,ORC3,9,0,0,0,0,0,
15-Aug,07:05,Y,Control,Silent,N,Bottom,D,N,9,0,0,0,0,0,
15-Aug,07:40,Y,Control,Silent,N,Top,C,N,10,1,0,0,0,1,Olive Sunbird
15-Aug,07:40,Y,Playback,Chimpanzee,N,Bottom,D,CZ3,10,1,0,0,0,1,Olive Sunbird
15-Aug,08:15,Cancelled,Playback,Mangabey,N,Top,C,OGM3,11,,,,,,
15-Aug,08:15,Cancelled,Control,Silent,N,Bottom,D,N,11,,,,,,
15-Aug,08:50,Y,Control,Silent,N,Top,C,N,12,1,1,0,0,0,Brown Chested Alethe
15-Aug,08:50,Y,Playback,Black Colobus,N,Bottom,D,OBC3,12,0,0,0,0,0,
15-Aug,09:25,Y,Playback,Black Colobus,N,Top,C,OBC4,13,0,0,0,0,0,
15-Aug,09:25,Y,Control,Silent,N,Bottom,D,N,13,0,0,0,0,0,
15-Aug,10:00,Y,Control,Silent,N,Top,C,N,14,1,0,0,0,1,Olive Sunbird
15-Aug,10:00,Y,Playback,Mangabey,N,Bottom,D,OGM1,14,1,0,0,0,1,Olive Sunbird
15-Aug,10:35,Y,Playback,Chimpanzee,N,Top,C,CZ4,15,1,1,0,0,0,Green Hylia
15-Aug,10:35,Y,Control,Silent,N,Bottom,D,N,15,0,0,0,0,0,
15-Aug,11:10,Y,Control,Silent,N,Top,C,N,16,1,0,0,1,0,Yellow Whiskered Greenbul
15-Aug,11:10,Y,Playback,Red Colobus,N,Bottom,D,ORC4,16,0,0,0,0,0,
16-Aug,07:05,Y,Playback,Chimpanzee,N,Top,E,CZ5,17,0,0,0,0,0,
16-Aug,07:05,Y,Control,Silent,N,Bottom,F,N,17,0,0,0,0,0,
